,"Greece, EURIBOR, 12 Month, Fixing","Bahrain, BHIBOR, 1 Year, Fixing, Ask","Germany, EURIBOR, 12 Month, Fixing","United States, LIBOR, 12 Month, Fixing","United Kingdom, LIBOR, 12 Month, Fixing","Japan, LIBOR, 12 Month, Fixing","France, EURIBOR, 12 Month, Fixing","Singapore, 12 Month","Spain, LIBOR, 12 Month, Fixing","Switzerland, LIBOR, 12 Month, Fixing","Italy, LIBOR, 12 Month, Fixing","Belgium, EURIBOR, 12 Month, Fixing","Netherlands, EURIBOR, 12 Month, Fixing","Finland, EURIBOR, 12 Month, Fixing","Hong Kong, HIBOR, 12 Month, Fixing","Czech Republic, PRIBOR, 12 Month, Fixing","Portugal, EURIBOR, 12 Month, Fixing","Romania, ROBOR, 12 Month, Fixing","Denmark, CIBOR, 12 Month, Fixing"
01/06/1991,,3.75,9.27583,7,10.9375,7.625,9.6641,6.19,11.9688,7.875,11.8906,9.5,9.26,11.75,8.13,,,,
01/07/1991,,3.75,9.565,6.625,10.9375,7.0625,9.875,6,12.625,7.875,12.1563,9.75,9.53,11.54,7.25,,,,
01/08/1991,,3.75,9.5,6,10.625,6.8125,9.5664,5.5,12.2344,7.875,12.125,9.5,9.49,11.72,6.88,,,,
01/09/1991,,3.75,9.4425,5.75,10.1875,6.125,9.5625,5.13,11.8906,8,11.7969,9.5,9.39,12.67,6.38,,,,
01/10/1991,,3.75,9.48125,5.375,10.375,5.8125,9.3437,4.63,12.2188,8.375,11.375,9.56,9.48,13,6.25,,,,
01/11/1991,,3.75,9.4725,5,10.625,5.6875,9.6875,4.13,12.5781,7.9375,11.875,9.56,9.49,12.37,5.5,,,,
01/12/1991,,3.75,9.63833,4.3125,10.96094,5.25,10.0468,3.88,12.75,8,12.4688,9.63,9.61,12.46,5,,,,
01/01/1992,,3.75,9.36167,4.6875,10.375,4.875,9.6875,3.88,12.4844,7.4375,11.7969,9.44,9.25,12.1,4.88,,,,
01/02/1992,,3.75,9.42,4.75,10.125,4.9375,9.75,3.88,12.3125,7.4375,11.875,9.3875,9.36,11.97,5.25,,,,
01/03/1992,,3.75,9.75,5.0625,11.0625,4.75,10.1875,4.13,12.4375,8.375,12.25,9.75,9.65,12.16,5.5,,,,
01/04/1992,,3.75,9.75,4.75,10.42188,4.6875,10.0312,3.94,12.3594,8.4375,12.3438,9.62812,9.52,13.37,5.25,,,,
01/05/1992,,3.75,9.73792,4.6875,10,4.6875,9.875,3.88,12.4219,8.875,12.5,9.5625,9.48,13.27,4.5,13.25,,,
01/06/1992,,3.75,9.74292,4.3125,10.0625,4.375,10.0351,3.63,12.75,8.875,13.375,9.63125,9.52,14.06,4.63,13.5,,,
